,RL,Random,Greedy
69,381.55269290213243,531.6074807539264,747.4294919374857
70,326.05228308231284,497.93095963035114,810.9000835542818
71,409.04734595607346,551.3796361142017,737.5694722748356
72,326.7829866055532,528.4709496393375,750.028152851742
73,391.86794636193974,499.54985305110574,780.9220768871131
74,339.6167203427006,490.94483117725304,777.3504433008424
75,357.17282469542727,530.2276445196519,782.6046236467075
76,387.4092973697726,522.4776025347828,732.6473967446107
77,404.52239504275366,514.194261807146,809.0309423387034
78,328.8079444977052,519.0065006985411,786.130201821338
79,478.93523958343457,550.7275627118644,725.9805103624266
80,346.61096519909336,500.5090636058211,743.1834197088564
81,331.65488408793686,556.366281679108,789.4020379739197
82,371.1920741347544,519.4437017279569,765.5290460400372
83,366.5034535901492,566.0020448674435,774.5172077130189
84,347.1282697298542,511.484901482267,732.0936189890332
85,390.744800339368,540.792458537108,736.4246424072222
86,362.54446014233145,520.412946192625,729.6221762890603
87,352.6078651658545,547.0918560089409,796.0448103352039
88,378.83333564404825,495.4069480748055,763.7206954752305
89,365.09055514292646,572.0510365370207,740.5789725201046
90,396.2634812324086,540.539360406858,769.0029145851804
91,357.5762094625826,582.4216953239593,754.1371966375133
92,369.2643046434438,534.5248108102837,753.6386711472541
93,421.6551167167446,524.5061748154699,765.1731207626048
94,455.53797703732863,591.9428087764427,733.837649837704
95,433.729293043593,532.8110836406096,742.1879657764833
96,361.7623702564381,555.2556520118031,773.7784749391312
97,482.66085655604184,534.5358637910197,766.1893124273372
98,407.31748951838017,536.9703045625238,699.1352268449502
99,384.85047758783634,503.1029203852421,756.9577820686711
100,335.02852838844194,555.3102095434269,779.376196935601
101,475.28657104007095,566.7822047350162,771.643605864491
102,356.3743000688808,469.17816502867447,791.4095395686181
103,342.22550116412157,516.0278137277976,655.6543384688113
104,406.2576979373797,488.25741574032907,693.210543548893
105,426.73903839854137,514.402634938918,744.2421381360655
106,329.71991379031937,550.2408038304778,747.8873204437107
107,403.2317141856355,477.63033683657807,756.3247616603146
108,383.4290547700587,519.7599330497691,830.7110547979586
109,358.465895543371,524.1344500821126,757.1253251598825
110,299.22326191840006,533.9594907699947,773.285118853457
111,429.6618621696451,533.5535781343076,772.2465391307339
112,339.6580137947177,555.195143955555,785.6323967365961
113,396.5054520790601,517.8678392610464,752.670268358261
114,427.6234650280314,512.5147260827127,739.1374734214356
115,374.8232341232364,498.34327444753563,727.4007077306261
116,377.9452195785826,524.666634231237,734.2662039192074
117,362.5618646738796,543.5457218630111,808.1260570574441
118,363.18868693466646,540.3540170425489,790.4973644634493
119,363.50631515062935,503.5520212429839,779.7756587677094
120,392.04733804399837,532.3107687012684,713.057016413414
